transaction_date,Boston,Chicago,Las Vegas,New York,San Francisco,Washington DC,Total
2019-02-01 00:00:00,531.2,1364.75,346.05,1800.35,2174.9,292.05,6509.3
2019-02-04 00:00:00,474.25,1366.75,358.15,1897.05,2105.65,313.4,6515.25
2019-02-05 00:00:00,585.15,1110.15,394.85,1775.0,1987.55,259.5,6112.2
2019-02-06 00:00:00,633.95,1162.2,330.8,1868.7,1814.55,397.95,6208.15
2019-02-07 00:00:00,506.8,1230.4,273.75,1757.55,1819.8,204.55,5792.85
2019-02-08 00:00:00,614.6,1233.45,412.15,1942.9,1788.0,280.9,6272.0
2019-02-11 00:00:00,640.15,1157.1,275.8,1747.3,1867.5,206.55,5894.4
2019-02-12 00:00:00,595.35,1317.0,324.75,1842.1,1861.45,518.1,6458.75
2019-02-13 00:00:00,560.75,1295.55,310.4,1890.8,1425.85,225.95,5709.3
2019-02-14 00:00:00,689.05,1120.55,210.65,2156.65,2035.25,310.4,6522.55
2019-02-15 00:00:00,805.0,1398.15,371.5,1945.0,1791.1,336.8,6647.55
2019-02-18 00:00:00,672.7,1296.6,271.65,1892.9,1787.85,338.9,6260.6
2019-02-19 00:00:00,609.55,1200.85,338.9,2017.2,1886.8,302.25,6355.55
2019-02-20 00:00:00,534.4,1110.25,266.6,1850.1,1979.55,331.7,6072.6
2019-02-21 00:00:00,623.85,1323.0,275.8,1765.65,1496.1,317.5,5801.9
2019-02-22 00:00:00,531.25,1157.1,329.75,1958.95,1838.9,513.05,6329.0
2019-02-25 00:00:00,714.3,1335.3,295.15,1879.75,1879.7,398.9,6503.1
2019-02-26 00:00:00,672.75,1374.85,225.9,2012.05,1577.45,399.95,6262.95
2019-02-27 00:00:00,737.85,1144.95,273.7,1989.8500000000001,1591.8,425.45,6163.6
2019-02-28 00:00:00,510.95,1040.95,306.3,1936.7,1759.6,331.85,5886.35
Total,12243.85,24739.9,6192.6,37926.55,36469.35,6705.7,124277.94999999998
